"[0.047418, 0.635927, -1, -1]",0
"[0.447604, 0.047671, 0.060318, 0.080299]",1
"[0.340879, 0.052201, 0.392266, 0.055876]",2
"[0.405095, 0.035481, 0.067989, -1]",3
"[0.058755, -1, -1, -1]",4
"[0.060199, 0.079968, 0.759361, 0.059829]",5
"[0.402, 0.590411, 0.047738, -1]",6
"[0.059952, 0.076117, 0.068268, 0.076172]",7
"[0.041072, 0.069471, -1, -1]",8
"[0.057419, 0.535812, 0.606004, 0.499868]",9
"[0.472594, 0.051042, 0.680185, -1]",10
"[0.060476, 0.651864, 0.051682, 0.056291]",11
"[0.664133, 0.963848, -1, -1]",12
"[0.687936, 0.060034, -1, -1]",13
"[0.624794, 0.708033, 0.686071, -1]",14
"[0.064276, 0.639608, 0.661822, 0.051677]",15
"[0.567177, 0.855473, 0.055867, 0.719399]",16
"[0.074157, 0.736424, 0.052103, -1]",17
"[0.048098, 0.060243, 0.080154, -1]",18
"[0.78339, -1, -1, -1]",19
"[0.04233, 0.072202, 0.887702, -1]",20
"[0.049328, 0.068269, 0.088022, 0.771445]",21
"[0.071342, 0.64395, 0.675428, -1]",22
"[0.464219, 0.062977, 0.060022, 0.963686]",23
"[0.460798, 0.035438, 0.599616, 0.694252]",24
"[0.41135, 0.539717, 0.044161, 0.068032]",25
"[0.069367, 0.67395, -1, -1]",0
"[0.452234, 0.016081, 0.052276, 0.076158]",1
"[0.394892, 0.056071, 0.440473, 0.088174]",2
"[0.476279, 0.031819, 0.064323, -1]",3
"[0.060955, -1, -1, -1]",4
"[0.048153, 0.072634, 0.590455, 0.067917]",5
"[0.388293, 0.513115, 0.060509, -1]",6
"[0.039897, 0.064323, 0.060256, 0.098483]",7
"[0.032897, 0.057639, -1, -1]",8
"[0.060402, 0.443855, 0.444565, 0.480232]",9
"[0.392262, 0.064083, 0.519923, -1]",10
"[0.091985, 0.629481, 0.039334, 0.076256]",11
"[0.497732, 0.67558, -1, -1]",12
"[0.532034, 0.063267, -1, -1]",13
"[0.697332, 0.624365, 0.758836, -1]",14
"[0.060103, 0.575603, 0.619974, 0.067572]",15
"[0.564027, 0.551627, 0.052837, 0.779046]",16
"[0.082442, 0.664188, 0.056412, -1]",17
"[0.052815, 0.052892, 0.077758, -1]",18
"[0.680262, -1, -1, -1]",19
"[0.060172, 0.076193, 0.927716, -1]",20
"[0.059476, 0.059316, 0.063545, 0.846942]",21
"[0.064201, 0.70786, 0.667748, -1]",22
"[0.496319, 0.043946, 0.068174, 0.80591]",23
"[0.480228, 0.056288, 0.579735, 0.670591]",24
"[0.475945, 0.574408, 0.048242, 0.08833]",25
"[0.049589, 0.38798, -1, -1]",0
"[0.409336, 0.060023, 0.063063, 0.076309]",1
"[0.288864, 0.065289, 0.298556, 0.184123]",2
"[0.360371, 0.044038, 0.073771, -1]",3
"[0.057918, -1, -1, -1]",4
"[0.056534, 0.051999, 0.56091, 0.07646]",5
"[0.318354, 0.402708, 0.072393, -1]",6
"[0.066032, 0.057688, 0.061787, 0.056148]",7
"[0.051973, 0.071562, -1, -1]",8
"[0.033946, 0.392287, 0.352982, 0.52024]",9
"[0.320028, 0.056083, 0.440489, -1]",10
"[0.06842, 0.596221, 0.068005, 0.072385]",11
"[0.416231, 0.692804, -1, -1]",12
"[0.340271, 0.052283, -1, -1]",13
"[0.413182, 0.541105, 0.644033, -1]",14
"[0.06416, 0.454205, 0.593459, 0.064123]",15
"[0.444261, 0.585062, 0.052015, 0.615356]",16
"[0.059536, 0.517697, 0.083752, -1]",17
"[0.072855, 0.070498, 0.045083, -1]",18
"[0.692297, -1, -1, -1]",19
"[0.047999, 0.076862, 0.77903, -1]",20
"[0.061216, 0.071962, 0.081336, 0.763888]",21
"[0.048326, 0.468459, 0.472364, -1]",22
"[0.408291, 0.591418, 0.04791, 0.083872]",23
"[0.399914, 0.068626, 0.451152, 0.412381]",24
"[0.400275, 0.524111, 0.039088, 0.088582]",25
"[0.055992, 0.548106, -1, -1]",0
"[0.463767, 0.052365, 0.060526, 0.07205]",1
"[0.292066, 0.072128, 0.440622, 0.068863]",2
"[0.400712, 0.052091, 0.057658, -1]",3
"[0.068607, -1, -1, -1]",4
"[0.055497, 0.064625, 0.564074, 0.068181]",5
"[0.424187, 0.506782, 0.060019, -1]",6
"[0.056685, 0.07309, 0.076569, 0.065273]",7
"[0.006328, -1, -1, -1]",4
"[0.047119, 0.058675, -1, -1]",8
"[0.058928, 0.420758, 0.396232, 0.490281]",9
"[0.322403, 0.053301, 0.451528, -1]",10
"[0.064173, 0.603164, 0.0563, 0.060277]",11
"[0.387553, 0.556293, -1, -1]",12
"[0.354112, 0.048259, -1, -1]",13
"[0.434308, 0.520354, 0.496287, -1]",14
"[0.089088, 0.479306, 0.452203, 0.066397]",15
"[0.460168, 0.547816, 0.040401, 0.64837]",16
"[0.059493, 0.420209, 0.080262, -1]",17
"[0.052825, 0.057614, 0.076488, -1]",18
"[0.565176, -1, -1, -1]",19
"[0.04815, 0.068434, 0.060076, 0.731955]",21
"[0.056499, 0.073361, 0.621867, -1]",20
"[0.048375, 0.440339, 0.49613, -1]",22
"[0.544085, 0.05157, 0.068198, 0.771056]",23
"[0.506558, 0.058524, 0.519511, 0.571766]",24
"[0.48044, 0.706987, 0.049017, 0.080195]",25
